name,estimated_volume,price
A1,22.021118524316996,98
A10,14.540566462517123,76
A11,22.77823394173711,83
A12,14.964040774563069,101
A13,21.542998877300665,108
A14,29.669818032256224,119
A15,11.036597705302762,58
A16,15.95782049536323,21
A17,6.86438901409758,35
A18,8.352695353249091,60
A19,15.184085730450079,98
A2,14.45781057442898,108
A20,22.10481856015801,64
A21,26.435365285240344,71
A22,25.803030808162948,34
A23,7.27123906939144,91
A24,25.77582664075494,104
A25,9.482042023009264,73
A26,20.583395403190007,94
A27,7.515408134716418,39
A28,6.832125304592968,52
A29,20.85050277027399,99
A3,8.454916764777586,82
A30,19.326638574847436,26
A31,6.875682589728118,45
A32,0.9218247850004693,80
A33,5.946422038460602,53
A34,13.246743951798194,116
A35,4.975683341263746,86
A36,25.116052720844678,27
A37,12.500112589089646,115
A38,9.898305182611162,116
A39,1.5554143167411718,31
A4,23.950558757072503,34
A40,10.53217932407053,114
A41,23.03327845510883,107
A42,11.566374135453984,62
A43,5.005751744970999,21
A44,4.811485301850386,76
A45,22.438588877377896,87
A46,17.582177518870413,91
A47,26.03734020717308,30
A48,7.212602587424666,81
A49,11.176684062425585,119
A5,16.60870844405545,52
A50,11.384898741518372,64
A51,26.995126950029146,29
A52,23.01064414482666,62
A53,5.623208376846005,44
A54,11.65542280900863,94
A55,16.508915373047103,101
A56,10.44151952607412,94
A57,18.703329385564224,27
A58,25.492607324563398,51
A59,16.193789972622287,113
A6,0.37567656726336557,109
A60,12.35544498385566,76
A7,8.833332029385362,29
A8,3.546180265929889,54
A9,0.9593400480098657,64
